id;macrorregiao;grupo;mantenedor;cultivar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;1;GRUPO II;GAÚCHA MELHORAMENTO;GMX XIRÚ RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;2;GRUPO I;GDM GENETICA DO BRASIL;50I52 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;2;GRUPO I;GDM GENETICA DO BRASIL;53I54 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;2;GRUPO I;GDM GENETICA DO BRASIL;54I52 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;2;GRUPO I;GDM GENETICA DO BRASIL;55I57 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;2;GRUPO I;GDM GENETICA DO BRASIL;57HO123 TP IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;2;GRUPO I;GDM GENETICA DO BRASIL;57I52 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;2;GRUPO I;GDM GENETICA DO BRASIL;5855 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;2;GRUPO I;GDM GENETICA DO BRASIL;58HO110 MM IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;2;GRUPO I;GDM GENETICA DO BRASIL;58I60 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;2;GRUPO I;GDM GENETICA DO BRASIL;5953 RSF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;2;GRUPO I;GDM GENETICA DO BRASIL;5958 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;2;GRUPO I;GDM GENETICA DO BRASIL;59HO124 PR IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;2;GRUPO I;GDM GENETICA DO BRASIL;59I60 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;2;GRUPO I;GDM GENETICA DO BRASIL;6160 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;2;GRUPO I;GDM GENETICA DO BRASIL;61HO125 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;2;GRUPO I;GDM GENETICA DO BRASIL;61I59 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;2;GRUPO I;GDM GENETICA DO BRASIL;6260 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;2;GRUPO I;GDM GENETICA DO BRASIL;6266 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;2;GRUPO I;GDM GENETICA DO BRASIL;62MS00 RR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;2;GRUPO I;GDM GENETICA DO BRASIL;63I64 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;2;GRUPO I;GDM GENETICA DO BRASIL;6458 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;1;GRUPO II;GDM GENETICA DO BRASIL;64HO114 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;2;GRUPO I;GDM GENETICA DO BRASIL;64HO133 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;1;GRUPO II;GDM GENETICA DO BRASIL;64I61 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;1;GRUPO II;GDM GENETICA DO BRASIL;64MS00 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;2;GRUPO I;GDM GENETICA DO BRASIL;6563 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;1;GRUPO II;GDM GENETICA DO BRASIL;65I65 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;2;GRUPO I;GDM GENETICA DO BRASIL;6663 RSF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;1;GRUPO II;GDM GENETICA DO BRASIL;66HO116 IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;1;GRUPO II;GDM GENETICA DO BRASIL;66I68 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;2;GRUPO I;GDM GENETICA DO BRASIL;6863 RSF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;1;GRUPO II;GDM GENETICA DO BRASIL;68I70 RSF IPRO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;1;GRUPO II;GDM GENETICA DO BRASIL;6968 RSF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
